Number,Product_code,Product_name,Rating,number of reveiws,Price,Images
69,B097C2JJ1R,"Dell Inspiron 3501 15.6"" FHD Display Laptop (i5-1135G7 / 8GB / 1TB HDD + 256GB SSD / Integrated Graphics / Win10 + MSO / Backlit KB / Soft Mint Color) D560559WIN9S",No Rating Available,0,"58,290",https://m.media-amazon.com/images/I/61zbf9g+VDS._AC_UY218_.jpg
70,B095KJN2TT,"HP 255 G8 Laptop 3K9U2PA (AMD Ryzen 3-3300/4GB Ram/ 512 GB SSD/ 15.6"" Inch HD/ Windows 10 Home / Dark Ash Black / 1 Year Warranty)",4.8 out of 5 stars,6,"36,171",https://m.media-amazon.com/images/I/61hnwJ-goZS._AC_UY218_.jpg
71,B08JQJS9SB,"HP Notebook 250 G7 Laptop 2A9A5PA#ACJ (Intel Celeron N4020/4GB Ram/1TB HDD/15.6 inch HD/Windows 10/Intel UHD Graphics/1.78Kg),Dark Ash Silver",3.7 out of 5 stars,83,"29,292",https://m.media-amazon.com/images/I/91KI7EcBzKL._AC_UY218_.jpg
72,B08HJJKDSH,"Lenovo V15 AMD Ryzen 5 15.6""(39.62cms) FHD Thin and Light Laptop (8GB/1TB HDD/Windows 10/AMD Radeon Vega 8 Graphics/Iron Grey/1.85Kg), 82C7003PIH",3.7 out of 5 stars,154,"42,179",https://m.media-amazon.com/images/I/61U0JQ6HnHL._AC_UY218_.jpg
73,B097C2NN72,"Dell Insprion 3505 15.6"" FHD Display Laptop (R5-3450U / 8GB / 256GB SSD / Vega 8 Graphics / Win10 + MSO / Accent Black) D560485WIN9BE",No Rating Available,0,"41,690",https://m.media-amazon.com/images/I/51MKXqHKBQL._AC_UY218_.jpg
74,B08MQ9KNGR,"Dell Vostro 3401 14"" FHD Anti Glare Display Laptop / i3-1005G1 / 4GB / 1TB + 256GB SSD/ Integrated Graphics / 1 Yr NBD / Win 10 + Office H&S/ Black) D552127WIN9DE",4.2 out of 5 stars,109,"39,290",https://m.media-amazon.com/images/I/8147cwFm2PL._AC_UY218_.jpg
75,B08WLR5NNR,"Acer Aspire 3 Ryzen 3 3200U 15.6"" (39.62cms) - (4 GB/1TB HDD/Windows 10 Home/AMD Radeon Vega 3 Mobile Graphics /1.9Kg/Black) A315-42",3.4 out of 5 stars,47,"31,990",https://m.media-amazon.com/images/I/718QD+zGlCL._AC_UY218_.jpg
76,B099KDGFWQ,Laptop Solution Sata Hard Disk Connector Cable Compatible for HP Compaq CQ43/G43/430/431/435/436/CQ57/630/631,No Rating Available,0,899,https://m.media-amazon.com/images/I/21Sr7eotPdS._AC_UY218_.jpg
77,B08VMYG235,"(Renewed) HP 15s-du1052tu Intel Pentium 15.6-Inch (39.62 cms) 1366 x 768 Pixels Laptop (4/1 TB/Windows 10 Home/Black/1.74 Kg), 1V4G6PA",5.0 out of 5 stars,1,"26,300",https://m.media-amazon.com/images/I/61MpF560n4L._AC_UY218_.jpg
78,B0966TPMRP,HP 250 G8 Notebook PC (3D4T7PA) CORE I3-1005G1/4 DDR4 Ram / 512GB SSD/Windows 10/15.6 inch HD/Intel UHD Graphics /NO ODD/1 Year ONSITE,4.5 out of 5 stars,2,"37,990",https://m.media-amazon.com/images/I/71tPBCVnKgS._AC_UY218_.jpg
